WORD                  TEXT  LINE  OLEN  WLEN  XPOS  WNUM  FDUR  OBLP  WDLP  LAUN    TXFR                                            
was                      1     1     3     3     6     2   218     2     2     0     383
best-selling             1     1    12    12    18     4   179     6     6   -12     -99
queen                    1     1     5     5    27     5   185     2     2    -9       7
romantic                 1     1     8     8    40     8   215     2     2   -13       4
Aga                      1     1     3     3    49     9   329     2     2    -9       1
was                      1     1     3     3    61    12   186     1     1   -12     383
enfant                   1     1     6     6    68    14   310     0     0    -7       1
terrible                 1     2     8     8     7    15   159     7     7   -99       6
right-on                 1     2     8     8    24    18   205     8     8   -17     -99
literati.                1     2     9     8    34    20   286     3     3   -10       1
Would                    1     2     5     5    45    21   220     4     4   -11     146
earth                    1     2     5     5    53    23   259     2     2    -8       8
literati.                1     2     9     8    36    20   205     5     5    17       1
urban                    1     2     5     5    27    19   196     2     2     9       3
right-on                 1     2     8     8    22    18   233     6     6     5     -99
urban                    1     2     5     5    29    19   164     4     4    -7       3
literati.                1     2     9     8    34    20   233     3     3    -5       1
literati.                1     2     9     8    37    20   331     6     6    -3       1
the                      1     2     3     3    49    22   188     2     2   -12    3511
earth                    1     2     5     5    55    23   181     4     4    -6       8
when                     1     2     4     4    63    25   195     1     1    -8     144
paths                    1     2     5     5    73    27   222     0     0   -10       1
crossed?                 1     3     8     7     7    28   276     7     7   -99       2
quite                    1     3     5     5    18    30   223     3     3   -11      48
Joanna                   1     3     6     6    28    32   248     2     2   -10      18
Trollope;                1     3     9     8    39    33   176     6     6   -11       3
warm,                    1     3     5     4    49    35   175     0     0   -10       6
she's                    1     3     5     5    46    34   147     3     3     3     -99
Trollope;                1     3     9     8    41    33   228     8     8     5       3
engaged                  1     3     7     7    55    36   167     0     0   -14       4
and                      1     3     3     3    65    37   252     2     2   -10    1283
engaged                  1     3     7     7    60    36   199     5     5     5       4
engaged                  1     3     7     7    58    36   159     3     3     2       4
responsive,              1     3    11    10    72    38   326     5     5   -14       1
clearly                  1     4     7     7     6    40   152     2     2   -99      14
heart                    1     4     5     5    20    43   196     0     0   -14       8
in                       1     4     2     2    26    44   180     0     0    -6    1091
approximately            1     4    13    13    35    45   157     6     6    -9       1
her                      1     4     3     3    18    42   271     2     2    17     107
the                      1     4     3     3    44    46   184     1     1   -26    3511
right                    1     4     5     5    52    47   203     5     5    -8      38
me,                      1     4     3     2    65    50   198     2     2   -13      55
is                       1     4     2     2    71    52   168     0     0    -6     717
a                        1     4     1     1    74    53   192     0     0    -3    1434
quintessentially         1     5    16    16     7    54   171     7     7   -99       2
quintessentially         1     5    16    16     5    54   281     5     5     2       2
quintessentially         1     5    16    16     9    54   266     9     9    -4       2
phenomenon,              1     5    11    10    26    56   261     1     1   -17       2
phenomenon,              1     5    11    10    31    56   210     6     6    -5       2
lower-middlebrow         1     5    16    16    46    58   202     5     5   -15     -99
lower-middlebrow         1     5    16    16    54    58   279    13    13    -8     -99
novelist                 1     5     8     8    62    59   325     4     4    -8       4
has                      1     5     3     3    71    61   170     0     0    -9     239
just                     1     5     4     4    76    62   257     1     1    -5      75
has                      1     5     3     3    73    61    98     2     2     3     239
enough                   2     1     6     6     3    63   225     3     3     0      32
sophistication           2     1    14    14    14    64   263     7     7   -11       1
able                     2     1     4     4    29    67   214     1     1   -15      14
convince                 2     1     8     8    40    69   186     4     4   -11       3
readership               2     1    10    10    50    71   245     1     1   -10       3
that                     2     1     4     4    64    72   152     4     4   -14     871
may                      2     1     3     3    71    74   119     1     1    -7      67
getting                  2     2     7     7     6    76   116     6     6   -99      23
upper-middlebrow         2     2    16    16    18    78   319     7     7   -12     -99
upper-middlebrow         2     2    16    16    25    78   161    14    14    -7     -99
product.                 2     2     8     7    32    79   359     4     4    -7       5
also                     2     2     4     4    48    81   229     1     1   -16      58
quite                    2     2     5     5    56    82   202     4     4    -8      48
vulnerable,              2     2    11    10    60    83   238     2     2    -4       5
Joanna,                  2     2     7     6    70    84   288     0     0   -10      18
has                      2     3     3     3     6    86   309     2     2   -99     239
monstering               2     3    10    10    21    90   271     1     1   -15       1
the                      2     3     3     3    36    92   192     0     0   -15    3511
monstering               2     3    10    10    26    90   200     6     6    10       1
a                        2     3     1     1    19    89   271     1     1     7    1434
monstering               2     3    10    10    24    90   189     4     4    -5       1
monstering               2     3    10    10    23    90   361     3     3     1       1
the                      2     3     3     3    37    92   226     1     1   -14    3511
Daily                    2     3     5     5    45    93   259     5     5    -8       8
paper                    2     3     5     5    58    96   203     1     1   -13      10
bastion                  2     3     7     7    66    97   243     3     3    -8       1
of                       2     3     2     2    71    98    70     0     0    -5    1757
Agashire,                2     4     9     8     6    99   205     6     6   -99       1
Agashire,                2     4     9     8     4    99   201     4     4     2       1
Agashire,                2     4     9     8     3    99   270     3     3     1       1
Agashire,                2     4     9     8     5    99   399     5     5    -2       1
is,                      2     4     3     2    17   101   185     1     1   -12     717
course,                  2     4     7     6    27   103   213     4     4   -10      32
proper                   2     4     6     6    38   105   211     3     3   -11       8
province.                2     4     9     8    45   106   317     3     3    -7       2
province.                2     4     9     8    48   106   140     6     6    -3       2
course,                  2     4     7     6    23   103   108     0     0    25      32
which                    2     4     5     5    14   100   167     4     4     9     152
which                    2     4     5     5    10   100   321     0     0     4     152
Agashire,                2     4     9     8     6    99   289     6     6     4       1
which                    2     4     5     5    11   100   240     1     1    -5     152
proper                   2     4     6     6    38   105   164     3     3   -27       8
province.                2     4     9     8    49   106   188     7     7   -11       2
interview                2     4     9     9    59   109   282     1     1   -10       1
in                       2     4     2     2    70   110   190     2     2   -11    1091
another                  2     4     7     7    73   111   108     2     2    -3      33
newspaper                2     5     9     9     6   112   298     6     6   -99      13
week,                    2     5     5     4    17   114   177     2     2   -11      42
seemingly                2     5     9     9    31   116   192     3     3   -14       1
admitted                 2     5     8     8    42   117   270     4     4   -11       2
leading                  2     5     7     7    52   119   163     2     2   -10       5
seemingly                2     5     9     9    34   116   293     6     6    18       1
